Team,Seed,Chances,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Rockets,1,140,14.00%,13.42%,12.75%,11.97%,47.86%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magic,2,140,14.00%,13.42%,12.75%,11.97%,27.84%,20.02%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pistons,3,140,14.00%,13.42%,12.75%,11.97%,14.84%,26.00%,7.02%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunder,4,125,12.50%,12.23%,11.89%,11.46%,7.24%,25.74%,16.74%,2.19%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacers,5,105,10.50%,10.54%,10.56%,10.53%,2.22%,19.61%,26.74%,8.68%,0.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trailblazers,6,90,9.00%,9.20%,9.41%,9.62%,0,8.62%,29.77%,20.55%,3.68%,0.15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings,7,75,7.50%,7.80%,8.14%,8.52%,0,0,19.72%,34.11%,12.88%,1.30%,0.03%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelicans,8,60,6.00%,6.34%,6.74%,7.22%,0,0,0,34.47%,32.10%,6.75%,0.38%,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spurs,9,45,4.50%,4.83%,5.23%,5.71%,0,0,0,0,50.72%,25.90%,3.01%,0.09%,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wizards,10,30,3.00%,3.27%,3.60%,4.01%,0,0,0,0,0,65.90%,18.99%,1.20%,0.02%,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knicks,11,20,2.00%,2.20%,2.45%,2.76%,0,0,0,0,0,0,77.59%,12.60%,0.40%,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunder (via Clippers),12,15,1.50%,1.66%,1.86%,2.10%,0,0,0,0,0,0,0,86.10%,6.70%,0.07%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hornets,13,10,1.00%,1.11%,1.25%,1.43%,0,0,0,0,0,0,0,0,92.88%,2.34%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavaliers,14,5,0.50%,0.56%,0.63%,0.72%,0,0,0,0,0,0,0,0,0,97.59%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hornets (via Pelicans),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawks,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockets (via Nets),17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulls,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Timberwolves,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
Spurs (via Raptors),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Nuggets,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
Grizzlies (via Jazz),22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
76ers,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Bucks,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Spurs (via Celtics),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Rockets (via Mavericks),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Heat,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Warriors,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Grizzlies,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Nuggets (via Thunder),30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
