?TEAM,TEAM,STAR POTENTIAL,SHOOTING,OFFENSE,DEFENSE,REBOUNDING,PLAYMAKING
Detroit Pistons,Pistons,1,0,0,0,0,0
San Antonio Spurs,Spurs,1,0,0,0,0,0
Houston Rockets,Rockets,1,0,0,0,0,0
Charlotte Hornets,Hornets,1,0,0,0,0,0
Portland Trailblazers,Trailblazers,1,0,0,0,0,0
Orlando Magic,Magic,1,0,0,0,0,0
Washington Wizards,Wizards,1,0.1,0.1,0.1,0.05,0.05
Indiana Pacers,Pacers,0.3,0.3,0.2,0.2,0.1,0
Utah Jazz,Jazz,0.2,0.25,0.15,0.2,0,0.2
Dallas Mavericks,Mavericks,0,0.35,0.2,0.15,0.25,0.05
Oklahoma City Thunder,Thunder,0.1,0.25,0.05,0.25,0.3,0.05
Chicago Bulls,Bulls,0.15,0.15,0.15,0.2,0.2,0.15
Toronto Raptors,Raptors,1,0,0,0,0,0
Atlanta Hawks,Hawks,0.15,0.4,0.2,0.2,0.05,0
New Orleans Pelicans,Pelicans,0,0.3,0.15,0.25,0.15,0.15
Minnesota Timberwolves,Timberwolves,0,0.4,0.25,0.15,0,0.2
LA Lakers,Lakers,0,0.35,0.2,0.15,0.2,0.1
Golden State Warriors,Warriors,0,0.25,0.15,0.35,0.2,0.05
LA Clippers,Clippers,0,0.3,0.2,0.2,0.2,0.1
Miami Heat,Heat,0,0.4,0.1,0.35,0.05,0.1
Brooklyn Nets,Nets,1,0,0,0,0,0
Phoenix Suns,Suns,0,0.25,0.15,0.2,0.2,0.2
New York Knicks,Knicks,0,0.25,0.15,0.2,0.3,0.1
Sacramento Kings,Kings,0,0.2,0.15,0.25,0.3,0.1
Cleveland Cavaliers,Cavaliers,0,0.5,0.2,0.25,0,0.05
Memphis Grizzlies,Grizzlies,0,0.4,0.1,0.35,0.1,0.05
Denver Nuggets,Nuggets,0,0.25,0.25,0.2,0.05,0.2
Philadelphia 76ers,76ers,0,0.6,0.1,0.15,0.05,0.1
Boston Celtics,Celtics,0,0.5,0.1,0.1,0.15,0.15
Milwaukee Bucks,Bucks,0,0.3,0.2,0.35,0.15,0
