RK,PICK,Year,Player,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST%,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,,CLOSE 2,,FAR 2,,FT,,2P,,3PR,3P/100,3P,,AST,REB,PTS
1,1,Fr,Paolo Banchero,Duke,ACC,39,Wing F,82.2,4.7,4,18,5.5,1.6,111.3,91.9,27.2,52,55.7,6.5,19.1,17.5,15.4,1.3,2.7,1.9,36.6,2.3,41-44,0.932,127-188,0.676,74-195,0.379,137-188,0.729,201-383,0.525,25.3,5.9,44-130,0.338,3.2,7.8,17.2
2,2,Fr,Chet Holmgren,Gonzaga,WCC,32,PF/C,67.3,4.2,4.8,14.1,7.1,7,124.3,76.3,21.4,68,69.1,8,28.7,11.4,17.9,1,11.9,1.6,35.4,3.9,57-57,1,105-125,0.84,24-50,0.48,71-99,0.717,129-175,0.737,37.5,6.6,41-105,0.39,1.9,9.9,14.1
3,3,Fr,Jabari Smith,Auburn,SEC,34,Stretch 4,70.9,4.2,4.1,10.1,7,3.1,113.5,85.8,26.2,52.2,57.1,3.5,23.4,13.8,14,1,3.8,2.1,38.5,2.9,14-15,0.933,41-63,0.651,63-176,0.358,131-164,0.799,104-239,0.435,43.9,10.7,79-187,0.422,2,7.4,16.9
4,4,So,Keegan Murray,Iowa,B10,35,Stretch 4,77,7.1,3.9,15,12.6,2.4,131.2,91.9,28.1,61.4,63.8,9.8,20.2,10.1,7.1,1.3,6.4,2.3,34.3,2.3,63-67,0.94,196-277,0.708,45-111,0.405,142-190,0.747,241-388,0.621,30,8.4,66-166,0.398,1.5,8.7,23.5
5,5,So,Jaden Ivey,Purdue,B10,36,Wing G,75.7,4.5,3.4,6.5,5.5,1,111.6,96,27.7,53.4,58,2.7,15,19.2,17.9,1.2,2,1.7,47,2.2,28-31,0.903,110-162,0.679,29-100,0.29,154-207,0.744,139-261,0.533,40.7,9.4,64-179,0.358,3.1,4.9,17.3
6,6,So,Bennedict Mathurin,Arizona,P12,37,Wing G,80.6,4.6,3.9,6.7,5.7,1,116.9,92.5,23.5,53.7,57.7,5.1,12.6,13.8,12.9,1.4,0.8,1.6,36.9,2.3,38-42,0.905,111-174,0.638,24-86,0.279,136-178,0.764,135-260,0.519,46.2,10.2,83-223,0.372,2.5,5.6,17.7
,7,Fr,Shaedon Sharpe,Kentucky
,8,Fr,Dyson Daniels, G League Ignite
7,9,Fr,Jeremy Sochan,Baylor,B12,30,Stretch 4,55,2.5,3.6,7.1,3.3,3.8,108.8,85.2,20,53.1,54.6,8.9,20.6,12.3,18.1,1.1,3.2,2.9,42.7,3.7,15-20,0.75,51-68,0.75,25-62,0.403,53-90,0.589,76-130,0.585,38.4,6.3,24-81,0.296,1.8,6.4,9.2
9,10,So,Johnny Davis,Wisconsin,B10,31,Wing F,80.4,4.5,4.6,7.7,5.4,2.4,102.9,89.1,31.6,46.3,52.2,4.3,23.8,14.6,12.7,0.9,2.3,2,39.8,2.4,16-19,0.842,89-143,0.622,84-228,0.368,155-196,0.791,173-371,0.466,24.7,6.9,37-122,0.303,2.1,8.2,19.7
,11,,Ousmane Dieng, New Zealand Breakers
10,12,Jr,Jalen Williams,Santa Clara,WCC,33,Combo G,86.7,5.1,3.3,5.5,4.6,0.9,116.1,100.3,24.9,56.2,60.1,2,11.7,22.7,13.6,2,1.5,1.9,33,3,25-27,0.926,124-186,0.667,53-135,0.393,114-141,0.809,177-321,0.551,24.8,5.2,42-106,0.396,4.2,4.4,18
11,13,Fr,Jalen Duren,Memphis,Amer,29,C,55.5,3,3.5,6.6,3.5,3.1,109.5,87,23,59.7,60.8,14,21.5,10.5,21.6,0.6,9.9,1.8,44.1,4.3,70-76,0.921,111-152,0.73,30-83,0.361,65-104,0.625,141-235,0.6,0.4,0.1,0-1,0,1.3,8.1,12
12,13,Fr,Devin Carter,South Carolina,SEC,29,Wing G,45.2,1.5,2.2,2.7,1.5,1.2,95.4,92.9,27.6,44.8,50.5,6.4,14.9,19,21.8,0.9,1.6,2.4,55.2,3,16-21,0.762,51-89,0.573,16-57,0.281,77-112,0.688,67-146,0.459,28.1,5.8,16-57,0.281,1.8,3.8,9
13,14,Sr,Ochai Agbaji,Kansas,B12,39,Wing G,84.6,5.2,4.2,8.1,6.5,1.7,114,92.4,23.3,57,59.5,2.8,12.9,8.7,14.5,0.8,1.7,1.5,28,1.9,37-41,0.902,119-164,0.726,36-126,0.286,113-152,0.743,155-290,0.534,46.6,10.7,103-253,0.407,1.6,5.1,18.8
14,14,Fr,Jordan Hawkins,Connecticut,BE,27,Wing G,29.5,1.1,1.6,0.3,0.6,-0.3,99.8,95.7,21.3,45,49.8,3.4,11.5,6.6,18.4,0.5,2.4,1.4,28.1,2.8,4-Mar,0.75,15-35,0.429,23-Jul,0.304,32-39,0.821,22-58,0.379,58.3,12.3,27-81,0.333,0.5,2,5.8
15,15,So,Mark Williams,Duke,ACC,39,C,58.9,4.6,3.3,12.1,7.8,4.3,138.6,87.2,18.6,71.8,72.4,13.2,21.4,6.9,12.3,0.9,11.3,1.3,28.9,3.5,96-101,0.95,171-219,0.781,20-46,0.435,56-77,0.727,191-265,0.721,0.4,0.1,0-1,0,0.9,7.5,11.2
17,16,Fr,AJ Griffin,Duke,ACC,39,Wing G,60.6,3.5,2.6,7.5,6.6,0.9,127.2,96,16.9,61.3,63,3.8,13.5,6.8,9.1,1.5,2.2,1.2,17.9,1.8,10-Aug,0.8,42-58,0.724,33-79,0.418,42-53,0.792,75-137,0.547,53.7,9.8,71-159,0.447,1,3.9,10.4
18,17,So,Tari Eason,LSU,SEC,33,Wing F,58.8,4.5,4.1,13.5,8.5,5.1,115.7,78.5,30.8,55.9,61.5,10.5,19.8,10.1,16.5,0.5,6.5,4.6,51.5,4.5,47-48,0.979,137-213,0.643,25-74,0.338,151-188,0.803,162-287,0.564,21.4,5.5,28-78,0.359,1,6.6,16.9
20,18,So,Dalen Terry,Arizona,P12,37,Wing G,69.1,3,3.5,6.7,3.1,3.5,121.1,90.4,15.1,56.3,58.4,5,12.8,22.1,18,2.8,1.1,2.5,23.1,3.3,22-24,0.917,73-106,0.689,14-46,0.304,39-53,0.736,87-152,0.572,33.6,4.1,28-77,0.364,3.9,4.8,8
23,19,Jr,Jake LaRavia,Wake Forest,ACC,33,Wing F,79.4,4.5,4.2,7.9,4.5,3.5,118.6,91.1,21.6,60.4,64.7,7.5,14.1,20,20.2,1.4,2.9,2.7,52.7,3.3,32-34,0.941,99-147,0.673,39-77,0.506,122-157,0.777,138-225,0.613,24.5,3.6,28-73,0.384,3.7,6.6,14.6
25,20,Fr,Malaki Branham,Ohio St.,B10,32,Wing G,73.6,4.1,2.8,5,4.6,0.4,115,99.6,23.4,55.4,59.4,3.5,10.5,14.7,15.1,1.2,1,1.6,29.8,2.4,13-Dec,0.923,57-79,0.722,66-153,0.431,80-96,0.833,123-232,0.53,28,5.9,37-90,0.411,2,3.6,13.7
26,21,Jr,Christian Braun,Kansas,B12,40,Wing G,85.1,4.5,4.3,8,5.2,2.8,114.1,90.6,20.2,55.6,58.5,4.9,16,14.5,16.8,1.4,2.5,1.6,32.3,2.1,27-27,1,124-197,0.629,33-90,0.367,99-135,0.733,156-286,0.545,31.6,5.5,51-132,0.386,2.8,6.5,14.1
27,22,So,Walker Kessler,Auburn,SEC,34,C,63,3.6,4.3,13.2,5.9,7.4,122.6,78.7,19,62.7,62.7,10.9,22.1,7,12.9,0.8,18.8,2.4,33.2,4.1,79-81,0.975,141-180,0.783,Dec-38,0.316,53-89,0.596,153-218,0.702,18.7,3.2,Oct-50,0.2,0.9,8,11.4
30,23,Jr,David Roddy,Colorado St.,MWC,30,Wing F,82.1,5.9,3.8,10.4,8.1,2.3,119.1,94.2,28.8,63.4,64.9,7.3,20.8,19.8,15.2,1.2,4,2.1,38.9,2.8,27-31,0.871,108-151,0.715,64-124,0.516,102-147,0.694,172-275,0.625,27.2,6.3,45-103,0.437,2.9,7.5,19.3
32,25,Fr,Blake Wesley,Notre Dame,ACC,34,Combo G,72.7,2.6,3.2,0.7,0.3,0.4,94.4,95.8,30.7,46.2,49.4,2.9,11.4,17.4,15.2,1.1,0.2,2.6,32.9,2.6,18-20,0.9,82-160,0.512,38-98,0.388,94-141,0.667,120-257,0.467,40.1,10.5,52-172,0.302,2.4,3.7,14.4
34,26,Jr,Wendell Moore Jr.,Duke,ACC,39,Combo G,84.6,4.8,3.8,7.3,5.4,1.9,121.1,95,20.3,56.9,60.5,4.3,12.4,21.7,16.6,2.3,0.6,2.3,31.4,1.9,14-18,0.778,94-146,0.644,42-103,0.408,95-118,0.805,136-250,0.544,33.5,5.6,52-126,0.413,4.4,5.3,13.4
36,26,Jr,Ben Sheppard,Belmont,OVC,32,Wing G,78.2,3.6,2.9,3.2,3.5,-0.3,115.2,100.8,22.2,58.9,61,3.2,11.1,9.9,11.2,1.2,0.7,2.3,29.6,2.5,17-18,0.944,98-145,0.676,16-38,0.421,80-110,0.727,114-183,0.623,50.8,10.7,70-189,0.37,1.6,3.9,16.2
,27,,Nikola Jovic, Serbia
38,28,Fr,Patrick Baldwin Jr.,Milwaukee,Horz,11,Stretch 4,25.3,0.7,2.2,-1.7,-0.5,-1.2,87.7,104.7,27.2,40.8,45,3.7,17.8,12.2,15.9,0.7,2.5,1.7,26.7,2.2,3-Mar,1,14-27,0.519,14-40,0.35,26-35,0.743,28-67,0.418,48.9,12.1,17-64,0.266,1.5,5.7,12.1
40,29,Fr,Tyty Washington Jr.,Kentucky,SEC,31,Scoring PG,65.9,3.7,3.4,6.5,3.9,2.6,113.3,93.8,22.2,50.4,52.8,2.6,10.7,23,14.7,2.4,0.7,2.6,19,2.1,2-Feb,1,34-57,0.596,82-177,0.463,48-64,0.75,116-234,0.496,30.6,6.6,36-103,0.35,3.9,3.5,12.5
42,30,Fr,Peyton Watson,UCLA,P12,32,Stretch 4,28.4,0.1,1.8,-0.3,-3.2,2.9,83.6,86.5,21.2,35.2,39.4,8.1,18.7,10.1,21,0.8,5.3,2.8,27.1,5,6-Mar,0.5,17-46,0.37,14-41,0.341,22-32,0.688,31-87,0.356,26.3,4.6,31-Jul,0.226,0.8,2.9,3.3
44,31,Sr,Andrew Nembhard,Gonzaga,WCC,32,Scoring PG,80.4,3.9,4.2,6.7,3.7,3,117.3,89.6,19.6,53.4,56.4,1.6,8.7,26.3,16.6,3,0.4,2.7,17.7,2.5,3-Feb,0.667,47-77,0.61,42-100,0.42,48-55,0.873,89-177,0.503,42.9,7,51-133,0.383,5.8,3.4,11.8
45,32,Fr,Caleb Houstan,Michigan,B10,34,Wing F,80,2.1,3.3,2.1,1.5,0.7,103.4,98,17,48.9,53,3.1,11.7,7.4,16.7,0.9,0.8,1.4,29.2,2.1,2-Feb,1,38-69,0.551,Nov-46,0.239,65-83,0.783,49-115,0.426,59.5,9.3,60-169,0.355,1.4,4,10.1
47,33,So,Christian Koloko,Arizona,P12,37,C,63.2,3.8,3.7,9.4,4.8,4.6,123.6,84.8,20.6,63.5,66.1,12.2,18,9.8,16.7,0.9,10.3,1.6,47.2,4.4,84-93,0.903,145-196,0.74,38-89,0.427,100-136,0.735,183-285,0.642,1,0.2,0-3,0,1.4,7.3,12.6
48,34,So,Jaylin Williams,Arkansas,SEC,37,PF/C,78.6,2.6,4.7,6.8,2.2,4.7,106,84,18.6,48.9,53.8,5.3,29.3,15.3,17,1.4,4,2.3,45.5,3.3,14-15,0.933,87-138,0.63,36-93,0.387,102-140,0.729,125-237,0.527,23.1,3.4,17-71,0.239,2.6,9.8,10.9
49,34,So,Colby Jones,Xavier,BE,35,Wing G,80.2,3.5,3.8,5.5,3.4,2,110.6,93.8,19.9,51.9,55.6,8.3,16.5,17.9,17.1,1.6,1.7,2.7,49.7,2.7,17-20,0.85,81-134,0.604,41-90,0.456,100-147,0.68,122-224,0.545,24.3,3.6,21-72,0.292,3.2,7.3,11.6
