RK,PICK,YEAR,,Player,TEAM,CONF,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,,CLOSE 2,,FAR 2,,FT,,2P,,3P/100,3P,,AST,REB,PTS,
1,2,Fr,,Brandon Miller,Alabama,SEC,80,4.9,4.8,11,7.3,3.6,117,86,25,53.3,58.3,6.7,17.7,12.7,14.7,0.9,2.4,1.5,32.9,2.9,23-26,85-147,0.578,31-93,0.333,146-170,0.859,116-240,0.483,12.5,106-276,0.384,,2.1,8.2,18.8,
2,6,Fr,,Anthony Black,Arkansas,SEC,85.6,2.8,4.6,5.9,2.5,3.4,102,90.6,22.2,49.5,54.9,4.3,12.8,20.9,22.6,1.3,1.9,3.4,57.8,3,24-26,93-148,0.628,28-88,0.318,134-190,0.705,121-236,0.513,4.3,28-93,0.301,,3.9,5.1,12.8,
3,8,Fr,,Jarace Walker,Houston,Amer,67.4,3,4.4,7.7,4,3.7,112.3,83.6,22,51.5,53.3,9.5,18.1,12.4,14.9,1.2,6.2,2.2,23.6,3,31-32,70-101,0.693,53-138,0.384,53-80,0.662,122-238,0.513,6.2,35-101,0.347,,1.8,6.8,11.2,
4,9,Fr,,Taylor Hendricks,UCF,Amer,84.4,4.3,4.3,7.1,4.9,2.2,119.9,92.9,20.4,55.7,58.9,8.1,16.2,8.6,12.1,1,5.9,1.6,28.6,2.3,36-37,88-136,0.647,35-94,0.372,86-110,0.782,123-230,0.535,8,61-155,0.394,,1.4,7,15.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,Fr,,Cason Wallace,Kentucky,SEC,74.9,3.3,3.8,7,3.1,3.9,112.1,94.8,20.3,51.6,54.3,3.3,10.3,24.4,19.3,2,1.6,3.7,22.4,3,13-13,52-73,0.712,43-112,0.384,53-70,0.757,95-185,0.514,7.4,44-127,0.346,,4.3,3.7,11.7,
7,11,Fr,,Jett Howard,Michigan,B10,66.1,3.4,3.1,4.3,3.8,0.5,111.5,100.3,21.8,53.2,56.2,1,8.8,12.9,11,1.6,2.1,0.8,22.7,2.8,6-Jun,29-47,0.617,30-72,0.417,60-75,0.8,59-119,0.496,13.7,78-212,0.368,,2,2.8,14.2,
8,12,Fr,,Dereck Lively II,Duke,ACC,48.5,2.4,3.1,9,2.4,6.6,130.6,85.3,12.8,66.1,65.7,12.3,17.8,9.8,15.7,1.6,12.8,1.5,29.7,5.2,54-55,74-96,0.771,8-Jan,0.125,21-35,0.6,75-105,0.714,1.1,13-Feb,0.154,,1.1,5.4,5.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,Fr,,Gradey Dick,Kansas,B12,81.2,4,4.2,6.5,4.3,2.3,115.3,91.8,19.2,54.7,58.1,4,13.5,9.4,11.4,1.3,0.8,2.5,22.6,2.6,15-16,62-101,0.614,29-87,0.333,76-89,0.854,91-188,0.484,10,83-206,0.403,,1.7,5.1,14.1,
