RK,Year,Feet,Inches,Height,Player,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P Pct,3P/100,3P_PCT,D-PRPG,DBPM,D-RTG,Team Name
1,So,6,8,80,Keegan Murray,Iowa,B10,77,7.1,15,131.2,28.1,61.4,63.8,9.8,20.2,10.1,7.1,6.4,2.3,34.3,241-388,0.621,8.4,0.398,3.9,2.4,91.9,
2,Jr,6,7,79,E.J. Liddell,Ohio St.,B10,82.4,6,10.4,116.2,30.5,54.6,59.8,8.9,19.1,16.1,15.1,8.2,1,53.4,157-291,0.54,7.2,0.374,3.9,2.5,93.4,
3,Jr,6,9,81,Oscar Tshiebwe,Kentucky,SEC,79.2,5.9,12,124.2,24.8,60.4,62.5,19.4,34.3,6.1,14.2,5.4,3.2,41.9,238-393,0.606,0.1,0,5.1,3.1,81,
4,Jr,6,5,77,David Roddy,Colorado St.,MWC,82.1,5.9,10.4,119.1,28.8,63.4,64.9,7.3,20.8,19.8,15.2,4,2.1,38.9,172-275,0.625,6.3,0.437,3.8,2.3,94.2,
5,So,7,1,85,Hunter Dickinson,Michigan,B10,76,5.9,9.9,119.9,26.8,58.8,61.7,9.1,22.7,16.1,14,5,0.9,27.2,219-362,0.605,3.7,0.328,3.8,2.6,93.3,
6,Sr,6,11,83,Jake Stephens,VMI,SC,80.8,5.8,9.4,124.5,26.3,65.4,68.4,6.1,22.6,21.8,16.7,6.9,0.9,40.6,116-198,0.586,8.7,0.5,2.7,1.1,104.7,
7,Sr,6,3,75,Collin Gillespie,Villanova,BE,85.4,5.7,8.1,122.6,22.4,56.5,60.9,1.5,11.6,20.2,13.7,0,1.9,26.8,75-161,0.466,13.2,0.415,3.9,2,94.6,
8,Sr,6,1,73,Antoine Davis,Detroit,Horz,92.4,5.5,3.2,110.9,34.7,53.1,56.7,1.6,10.6,29.8,16,0.1,1.6,21.4,125-257,0.486,17.1,0.379,1.8,-2.9,113.5,
9,Sr,6,1,73,Kendric Davis,SMU,Amer,83.5,5.4,7,115.8,27.6,53.1,60.3,1.7,9.5,28,16.3,0.3,2.6,48.7,107-212,0.505,10.8,0.372,3.8,1.6,95.5,
10,Jr,7,1,85,Kofi Cockburn,Illinois,B10,64.5,5.4,8,114.7,30.7,59.3,61.3,12.9,25.6,6.7,14.6,3,1.6,53.3,226-381,0.593,0,0,4.3,1.5,86.6,
11,Sr,6,4,76,Javon Freeman-Liberty,DePaul,BE,67.4,5.4,7.5,111.2,30.3,49,53.6,5.4,16.9,20.3,11.6,0.2,2.8,39.4,127-276,0.46,9,0.368,3.5,0.9,98.6,
12,Sr,5,9,69,Darius McGhee,Liberty,ASun,86.8,5.3,7.3,108.9,36.8,55.4,59,1.9,13.7,27.7,15.6,0.6,2,22.8,129-235,0.549,19.5,0.372,3.2,-0.2,100.4,
13,So,6,4,76,Malachi Smith,Chattanooga,SC,89.5,5.3,8.3,117.7,28,54.5,59.1,6,16.7,17.1,14.7,0.4,2.9,35.4,179-344,0.52,7.2,0.403,4,1.6,95.4,
14,Sr,6,3,75,Terrell Brown Jr.,Washington,P12,89.3,5.2,8.2,107.5,31.8,46.2,51.6,3.6,9.6,30,11.9,1.5,3.4,38.5,245-509,0.481,3,0.2,3.6,2.2,98,
15,So,6,1,73,Nijel Pack,Kansas St.,B12,76.8,5.2,10,117,23.8,57.8,60.3,2.6,10.9,16.3,11.2,0.4,2.4,18.4,80-167,0.479,13.5,0.436,3.5,1.5,96.5,
16,Jr,7,1,85,Orlando Robinson,Fresno St.,MWC,79.3,5.2,10,109.9,33.8,51.8,55.5,10.1,22.1,23.2,14.1,4.7,2,42.4,200-393,0.509,5.7,0.37,4.3,2.7,89.3,
17,Sr,6,7,79,Hunter Maldonado,Wyoming,MWC,91.9,5.2,4.9,108.5,30.8,52,56.6,3.5,14.1,38.6,19.6,0.4,1.9,53,192-346,0.555,4.1,0.25,4.1,1.6,95.4,
18,Sr,6,5,77,Ochai Agbaji,Kansas,B12,84.6,5.2,8.1,114,23.3,57,59.5,2.8,12.9,8.7,14.5,1.7,1.5,28,155-290,0.534,10.7,0.407,4.2,1.7,92.4,
19,So,6,9,81,Trayce Jackson-Davis,Indiana,B10,79.8,5.2,10.8,117.8,26.2,58.9,61.3,8.3,20.4,13.9,11.7,8.4,1.1,52.2,246-415,0.593,0.2,0,4.4,3.8,87.8,
20,Sr,6,7,79,Justin Bean,Utah St.,MWC,87.9,5.1,9.3,118.2,23.5,58.7,61.5,8.9,24.2,15.4,13.8,1.6,2.7,27,176-318,0.553,4.9,0.464,4.4,2.5,91.4,
21,Jr,6,1,73,Foster Loyer,Davidson,A10,65.9,5.1,5.8,122.6,25.6,57.1,63.8,1.2,11.5,22.3,13.1,0,1.5,40.3,65-139,0.468,11.8,0.438,2.6,-0.5,102.5,
22,Jr,6,6,78,Jalen Williams,Santa Clara,WCC,86.7,5.1,5.5,116.1,24.9,56.2,60.1,2,11.7,22.7,13.6,1.5,1.9,33,177-321,0.551,5.2,0.396,3.3,0.9,100.3,
23,Jr,6,3,75,Scotty Pippen Jr.,Vanderbilt,SEC,82.1,5,7.3,104.9,34.4,47.6,54.1,2.9,9.7,32.6,17.1,0.6,3.4,55.6,160-341,0.469,9.6,0.325,3.9,2.1,93.4,
24,Jr,6,10,82,Armando Bacot,North Carolina,ACC,78.3,5,8.2,117.9,25,57,59.6,14.9,29.9,9.9,14.3,5.2,1.5,50.8,243-421,0.577,0.4,0.125,4.3,2.7,87.5,
25,Sr,6,4,76,Bryce Hamilton,UNLV,MWC,82.5,5,7.5,106.2,33.6,50.2,54,2.3,15.3,18.4,10.8,0.4,1.5,29.4,162-334,0.485,13.5,0.351,3.2,-0.1,99.6,
26,So,7,1,85,Ryan Kalkbrenner,Creighton,BE,70.6,5,10.2,128.8,20,65.1,67.4,16,12.9,6.7,13.8,8.5,0.9,48.1,170-256,0.664,0.7,0.25,3.6,3.4,91.3,
27,Jr,6,7,79,JT Shumate,Toledo,MAC,80.3,4.9,7.3,135.8,18.4,65.1,67.7,7.6,12.5,10.1,9.9,4.3,1.1,26.8,114-190,0.6,7.3,0.481,3,1.2,100.2,
28,Jr,6,1,73,Jahmir Young,Charlotte,CUSA,89.6,4.9,5.2,113.7,28.1,53,58.5,2.4,18,23.3,12.7,1.4,1.8,33,154-285,0.54,8.9,0.341,2.7,-0.5,105.6,
29,Jr,6,5,77,Isiaih Mosley,Missouri St.,MVC,79.5,4.9,6,113.9,30.8,56.7,61,3.9,18.9,15.8,16,0.5,2.2,26.9,177-327,0.541,9,0.412,3.1,0,98.9,
30,Sr,6,9,81,Keve Aluma,Virginia Tech,ACC,76.7,4.9,8.1,117,26.4,56.8,60.2,8.6,18.5,13.9,14,3.5,1.5,31.8,195-334,0.584,4.3,0.333,3.7,2,92.5,
31,Jr,6,5,77,Wendell Moore Jr.,Duke,ACC,84.6,4.8,7.3,121.1,20.3,56.9,60.5,4.3,12.4,21.7,16.6,0.6,2.3,31.4,136-250,0.544,5.6,0.413,3.8,1.9,95,
32,Sr,6,2,74,Alex Barcello,BYU,WCC,80.8,4.8,7,118.2,23.8,54.9,59.8,1.1,11.6,19.6,13.8,0,1.6,32.7,102-211,0.483,10.5,0.413,3.3,1.2,98.3,
33,Sr,6,1,73,R.J. Cole,Connecticut,BE,82.2,4.8,5.4,115.5,24.3,48.4,53.6,2.3,9,24.9,14.1,0.2,1.9,29.7,118-253,0.466,9.5,0.339,3.4,1,97.2,
34,Jr,6,10,82,Drew Timme,Gonzaga,WCC,70,4.8,8.2,115.8,29.6,59.6,61.6,7.9,16.8,17.6,16.1,2.7,0.5,43.9,224-368,0.609,1.7,0.286,3.7,1.9,89.6,
35,Sr,5,8,68,Tavian Dunn-Martin,Florida Gulf Coast,ASun,83.3,4.7,3.2,110.6,33.5,51,56.8,1.7,8.5,38.1,19,0.1,1.8,34.2,113-246,0.459,14.5,0.371,2,-2.4,110,
36,Sr,6,4,76,Payton Willis,Minnesota,B10,87.1,4.7,7.6,112.5,24,57.7,58.5,2.3,13.3,25.9,12.5,1.4,2.4,22.4,95-184,0.516,10,0.428,3.6,1.4,98.7,
37,So,6,7,79,Dereon Seabron,North Carolina St.,ACC,87.8,4.7,5.3,111.4,26.3,50.6,55.3,7.7,18.4,19.1,14.8,0.3,2.3,49.8,189-362,0.522,2.3,0.25,3,-0.2,103,
38,Sr,6,6,78,Buddy Boeheim,Syracuse,ACC,90.1,4.7,3.9,110,25,49,53.1,1.7,7.9,16,10.8,0.3,2.3,21.4,125-265,0.472,12.5,0.34,2.8,-0.4,105.8,
39,Jr,6,3,75,Iverson Molinar,Mississippi St.,SEC,84.2,4.7,5.4,110.7,26.6,48.3,55.3,1.8,9,23.5,15.5,1.3,2.1,40.3,178-345,0.516,5.5,0.252,3.4,0.8,98.2,
40,Jr,6,1,73,Isaiah Stevens,Colorado St.,MWC,86.9,4.7,4.1,115.1,23.6,51.9,56.7,1.4,10,27.4,12.5,0.4,2.1,26.4,116-236,0.492,6.3,0.385,3.3,0.6,99.9,
41,Sr,6,10,82,Luka Brajkovic,Davidson,A10,74.7,4.7,7.6,121.2,24.1,63.3,63.8,8,21.4,18.4,14.1,4.6,0.6,27.2,159-247,0.644,5.4,0.402,3,1.2,98.8,
42,Jr,5,11,71,Jordan Walker,UAB,CUSA,79.5,4.7,5.1,108.6,33.4,50.8,55.7,0.4,9.4,29.9,19.6,0.1,2.5,27.7,104-256,0.406,15.4,0.4,3,-1,99.9,
